                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2339,                 3.1638,                0.73245,                 1.4062,                 1.2136,                0.97945,                0.94118,                0.98272,                0.72138,                0.97945,                0.94118,                0.98461,                0.66665,                0.97654,                 1.3127,                0.74022,                 0.6721,                 1.0843,             0.00066234,             0.00066234,             0.00066234
                      2,                0.98034,                0.82358,                0.64447,                0.70996,                 1.0633,                0.99762,                0.95588,                0.99257,                0.70547,                0.99762,                0.95588,                0.99257,                 0.8792,                0.88175,                0.34678,                0.45871,                 0.7099,                 1.1182,              0.0013224,              0.0013224,              0.0013224
                      3,                0.93483,                0.50824,                0.47512,                0.63365,                 1.0798,                0.99889,                0.97059,                0.99378,                0.77229,                0.99889,                0.97059,                0.99378,                0.95893,                0.85358,                0.23492,                0.23473,                0.49309,                 1.1501,              0.0019759,              0.0019759,              0.0019759
                      4,                0.91401,                0.38392,                0.37705,                0.61646,                 1.0612,                0.99905,                      1,                  0.995,                0.77573,                0.99905,                      1,                  0.995,                0.97597,                0.86109,                0.18225,                0.11731,                0.52707,                 1.1137,              0.0019703,              0.0019703,              0.0019703
                      5,                0.88427,                 0.3729,                0.32391,                0.60019,                   1.06,                0.96868,                      1,                0.99068,                0.74535,                0.96868,                      1,                0.99068,                0.96092,                0.90843,                0.19527,                0.08189,                0.55998,                 1.1468,              0.0019703,              0.0019703,              0.0019703
                      6,                0.89042,                0.29867,                0.29866,                0.57474,                 1.0428,                0.98346,                      1,                0.99486,                0.77643,                0.98346,                      1,                0.99486,                0.98162,                0.85622,                0.19073,                 0.0701,                0.51041,                 1.0699,              0.0019604,              0.0019604,              0.0019604
                      7,                0.83967,                0.25868,                0.27706,                0.52356,                 1.0064,                 0.9844,                      1,                0.99486,                0.81409,                 0.9844,                      1,                0.99486,                0.98865,                0.78795,                 0.1454,                0.05822,                0.42652,                 1.0635,              0.0019505,              0.0019505,              0.0019505
                      8,                0.79169,                 0.2527,                0.25132,                0.49403,                0.99001,                0.98423,                      1,                0.99442,                0.78989,                0.98423,                      1,                0.99442,                0.98935,                0.82247,                0.12743,                0.04931,                0.45939,                 1.0575,              0.0019406,              0.0019406,              0.0019406
                      9,                0.82465,                0.21482,                0.23759,                0.49454,                 1.0076,                0.99749,                      1,                  0.995,                0.78271,                0.99749,                      1,                  0.995,                0.99141,                0.78397,                 0.1228,                 0.0458,                0.42052,                  1.065,              0.0019307,              0.0019307,              0.0019307
                     10,                0.80084,                0.22608,                0.21262,                0.50093,                 1.0143,                0.98106,                      1,                0.99471,                0.80381,                0.98106,                      1,                0.99471,                0.99308,                0.80766,                0.12745,                0.03458,                  0.444,                 1.0671,              0.0019208,              0.0019208,              0.0019208
